Designator,Mid X,Mid Y,Layer,Rotation
"C15",39.000000,-42.000000,bottom,180.000000
"C18",56.500000,-47.000000,bottom,180.000000
"R18",53.000000,-44.000000,bottom,90.000000
"R20",51.000000,-43.000000,bottom,90.000000
"C1",9.000000,-32.500000,top,90.000000
"C2",12.000000,-32.000000,top,90.000000
"C3",18.000000,-51.000000,top,90.000000
"C4",34.000000,-41.000000,top,0.000000
"C5",38.000000,-31.000000,top,90.000000
"C6",43.000000,-33.000000,top,90.000000
"C7",44.000000,-30.500000,top,0.000000
"C10",27.500000,-27.000000,top,0.000000
"C11",32.500000,-27.000000,top,0.000000
"C12",30.400000,-34.000000,top,-90.000000
"C13",50.000000,-53.000000,top,0.000000
"C14",50.000000,-40.000000,top,0.000000
"C16",31.000000,-51.000000,top,0.000000
"C17",54.000000,-24.000000,top,0.000000
"C19",12.500000,-22.500000,top,90.000000
"D1",5.000000,-42.000000,top,90.000000
"D3",38.500000,-24.000000,top,90.000000
"D4",48.000000,-25.000000,top,90.000000
"F1",34.000000,-55.000000,top,0.000000
"J1",3.000000,-5.000000,top,0.000000
"J2",3.700000,-49.000000,top,90.000000
"J4",56.300000,-30.000000,top,-90.000000
"J5",3.700000,-28.500000,top,90.000000
"J6",56.300000,-40.000000,top,-90.000000
"J7",51.500000,-57.000000,top,90.000000
"J8",12.000000,-57.000000,top,90.000000
"J9",43.000000,-57.400000,top,0.000000
"J14",3.700000,-16.000000,top,90.000000
"L1",24.000000,-44.000000,top,0.000000
"Q1",47.500000,-38.500000,top,0.000000
"Q2",43.000000,-38.500000,top,0.000000
"R1",18.000000,-29.000000,top,0.000000
"R2",18.000000,-32.000000,top,0.000000
"R3",25.500000,-34.000000,top,90.000000
"R4",35.000000,-29.000000,top,90.000000
"R5",35.000000,-33.500000,top,90.000000
"R6",20.000000,-35.000000,top,0.000000
"R7",22.000000,-33.000000,top,0.000000
"R8",41.000000,-25.000000,top,0.000000
"R9",45.000000,-25.000000,top,0.000000
"R10",8.500000,-14.500000,top,90.000000
"R11",8.000000,-18.000000,top,90.000000
"R12",52.000000,-14.500000,top,90.000000
"R13",51.000000,-22.500000,top,90.000000
"R14",16.800000,-38.000000,top,90.000000
"R15",34.000000,-58.000000,top,0.000000
"R16",27.000000,-52.000000,top,0.000000
"R17",23.000000,-51.000000,top,90.000000
"R19",50.500000,-36.000000,top,90.000000
"R21",10.500000,-22.500000,top,90.000000
"R22",36.000000,-24.000000,top,90.000000
"R23",48.000000,-22.000000,top,90.000000
"R24",14.900000,-23.275000,top,0.000000
"R25",52.200000,-34.300000,top,-90.000000
"R26",51.800000,-31.500000,top,180.000000
"SW1",48.000000,-31.000000,top,0.000000
"SW2",25.500000,-57.000000,top,0.000000
"SW3",47.000000,-34.000000,top,0.000000
"U1",30.000000,-10.500000,top,0.000000
"U2",30.000000,-30.000000,top,0.000000
"U3",12.000000,-38.000000,top,0.000000
"U4",39.000000,-35.000000,top,0.000000
"U5",57.000000,-52.000000,top,0.000000
"U6",52.000000,-49.000000,top,0.000000
"U7",37.000000,-49.000000,top,0.000000
